code,rate,base_rate_code,date
XAU,0.000654,EUR,2021-10-15
XCD,3.137403,EUR,2021-10-15
XDR,0.822135,EUR,2021-10-15
XOF,655.334471,EUR,2021-10-15
XPF,119.97914,EUR,2021-10-15
YER,290.516087,EUR,2021-10-15
ZAR,16.96442,EUR,2021-10-15
ZMK,10449.53287,EUR,2021-10-15
ZMW,19.953815,EUR,2021-10-15
ZWL,373.810867,EUR,2021-10-15
