code,rate,base_rate_code,date
ETB,64.53298423,GBP,2021-10-19
EUR,1,EUR,2021-10-19
EUR,0.8588549231,USD,2021-10-19
EUR,1.185289139,GBP,2021-10-19
FJD,2.434622,EUR,2021-10-19
FJD,2.090987091,USD,2021-10-19
FJD,2.885731015,GBP,2021-10-19
FKP,0.85372,EUR,2021-10-19
FKP,0.7332216249,USD,2021-10-19
FKP,1.011905044,GBP,2021-10-19
GBP,0.843676,EUR,2021-10-19
GBP,0.7245952861,USD,2021-10-19
GBP,1,GBP,2021-10-19
GEL,3.644433,EUR,2021-10-19
GEL,3.130039224,USD,2021-10-19
GEL,4.319706854,GBP,2021-10-19
GGP,0.85372,EUR,2021-10-19
GGP,0.7332216249,USD,2021-10-19
GGP,1.011905044,GBP,2021-10-19
GHS,7.067905,EUR,2021-10-19
GHS,6.070305005,USD,2021-10-19
GHS,8.377511035,GBP,2021-10-19
GIP,0.85372,EUR,2021-10-19
GIP,0.7332216249,USD,2021-10-19
GIP,1.011905044,GBP,2021-10-19
GMD,60.546125,EUR,2021-10-19
GMD,52.00033753,USD,2021-10-19
GMD,71.7646644,GBP,2021-10-19
GNF,11264.99781,EUR,2021-10-19
GNF,9674.99883,USD,2021-10-19
GNF,13352.27956,GBP,2021-10-19
GTQ,9.009481,EUR,2021-10-19
GTQ,7.737837111,USD,2021-10-19
GTQ,10.67883998,GBP,2021-10-19
GYD,243.602759,EUR,2021-10-19
GYD,209.2194288,USD,2021-10-19
GYD,288.7397046,GBP,2021-10-19
HKD,9.053973,EUR,2021-10-19
HKD,7.776049285,USD,2021-10-19
HKD,10.73157587,GBP,2021-10-19
HNL,28.171222,EUR,2021-10-19
HNL,24.1949927,USD,2021-10-19
HNL,33.39104348,GBP,2021-10-19
HRK,7.508366,EUR,2021-10-19
HRK,6.448597103,USD,2021-10-19
HRK,8.899584675,GBP,2021-10-19
HTG,115.856872,EUR,2021-10-19
HTG,99.50424489,USD,2021-10-19
HTG,137.3238921,GBP,2021-10-19
HUF,362.349824,EUR,2021-10-19
HUF,311.2059302,USD,2021-10-19
HUF,429.4893111,GBP,2021-10-19
IDR,16416.10051,EUR,2021-10-19
IDR,14099.04874,USD,2021-10-19
IDR,19457.82564,GBP,2021-10-19
ILS,3.739628,EUR,2021-10-19
ILS,3.211797918,USD,2021-10-19
ILS,4.432540454,GBP,2021-10-19
IMP,0.85372,EUR,2021-10-19
IMP,0.7332216249,USD,2021-10-19
IMP,1.011905044,GBP,2021-10-19
INR,87.41039,EUR,2021-10-19
INR,75.07284378,USD,2021-10-19
INR,103.6065859,GBP,2021-10-19
IQD,1699.937708,EUR,2021-10-19
IQD,1459.999869,USD,2021-10-19
IQD,2014.917703,GBP,2021-10-19
IRR,49129.3638,EUR,2021-10-19
IRR,42194.99596,USD,2021-10-19
IRR,58232.50133,GBP,2021-10-19
ISK,149.804065,EUR,2021-10-19
ISK,128.6599587,USD,2021-10-19
ISK,177.5611313,GBP,2021-10-19
JEP,0.85372,EUR,2021-10-19
JEP,0.7332216249,USD,2021-10-19
JEP,1.011905044,GBP,2021-10-19
JMD,175.241334,EUR,2021-10-19
JMD,150.5068824,USD,2021-10-19
JMD,207.71165,GBP,2021-10-19
JOD,0.82552,EUR,2021-10-19
JOD,0.7090019161,USD,2021-10-19
JOD,0.9784798904,GBP,2021-10-19
JPY,133.024197,EUR,2021-10-19
JPY,114.2484865,USD,2021-10-19
JPY,157.672136,GBP,2021-10-19
KES,129.183857,EUR,2021-10-19
KES,110.9501916,USD,2021-10-19
KES,153.1202227,GBP,2021-10-19
KGS,98.728543,EUR,2021-10-19
KGS,84.7934952,USD,2021-10-19
KGS,117.0218698,GBP,2021-10-19
KHR,4747.017702,EUR,2021-10-19
KHR,4076.999523,USD,2021-10-19
KHR,5626.588527,GBP,2021-10-19
KMF,492.370612,EUR,2021-10-19
KMF,422.8749241,USD,2021-10-19
KMF,583.601539,GBP,2021-10-19
KPW,1047.906457,EUR,2021-10-19
KPW,899.9996195,USD,2021-10-19
KPW,1242.072143,GBP,2021-10-19
KRW,1369.917191,EUR,2021-10-19
KRW,1176.560124,USD,2021-10-19
KRW,1623.747968,GBP,2021-10-19
KWD,0.351162,EUR,2021-10-19
KWD,0.3015972125,USD,2021-10-19
KWD,0.4162285048,GBP,2021-10-19
KYD,0.970384,EUR,2021-10-19
KYD,0.8334190757,USD,2021-10-19
KYD,1.150185616,GBP,2021-10-19
KZT,496.093578,EUR,2021-10-19
KZT,426.0724118,USD,2021-10-19
KZT,588.0143301,GBP,2021-10-19
LAK,11795.93777,EUR,2021-10-19
LAK,10130.99923,USD,2021-10-19
LAK,13981.59693,GBP,2021-10-19
LBP,1781.441828,EUR,2021-10-19
LBP,1530.000084,USD,2021-10-19
LBP,2111.523651,GBP,2021-10-19
LKR,234.049592,EUR,2021-10-19
LKR,201.0146443,USD,2021-10-19
LKR,277.4164395,GBP,2021-10-19
LRD,188.332541,EUR,2021-10-19
LRD,161.75033,USD,2021-10-19
LRD,223.2285154,GBP,2021-10-19
LSL,16.963979,EUR,2021-10-19
